orderNumber,amount,totalPrice,createTime
20621736901250387968,105.82,100000,2024-05-09 00:07:12
20621738612783611904,105.82,100000,2024-05-09 00:14:00
20621742578604457984,264.55,250000,2024-05-09 00:29:46
20621742752755400704,264.55,250000,2024-05-09 00:30:27
20621747047551844352,105.82,100000,2024-05-09 00:47:31
20621750548950941696,79.8,75410,2024-05-09 01:01:26
20621752862022242304,52.91,50000,2024-05-09 01:10:38
20621759123492970496,64.17,60000,2024-05-09 01:35:30
20621883193858260992,317.46,300000,2024-05-09 09:48:31
20621883715677290496,131.32,124100,2024-05-09 09:50:35
20621884016791744512,142.85,135000,2024-05-09 09:51:47
20621891514087579648,139.7,132000,2024-05-09 10:21:35
20621891945726853120,158.75,150000,2024-05-09 10:23:18
20621903832669851648,197.05,185822,2024-05-09 11:10:32
20621904453678997504,106.04,100000,2024-05-09 11:13:00
20621916013408907264,213.67,200000,2024-05-09 11:58:56
20621916310451060736,106.83,100000,2024-05-09 12:00:07
20621916576689012736,160.25,150000,2024-05-09 12:01:10
20621953021904654336,176.01,165000,2024-05-09 14:25:59
20621953370336718848,320.02,300000,2024-05-09 14:27:22
20621953810608910336,106.67,100000,2024-05-09 14:29:07
20621954045241311232,181.34,170000,2024-05-09 14:30:03
20621954575251836928,192.01,180000,2024-05-09 14:32:10
20621958068978274304,106.7,100000,2024-05-09 14:46:03
20621958146346864640,213.4,200000,2024-05-09 14:46:21
20621958591487672320,106.72,100000,2024-05-09 14:48:07
20621959267985276928,117.39,110000,2024-05-09 14:50:49
20621962797102813184,164.17,153700,2024-05-09 15:04:50
20621963450759630848,106.81,100000,2024-05-09 15:07:26
20621964899303383040,352.48,330000,2024-05-09 15:13:11
20621967947426607104,160.22,150000,2024-05-09 15:25:18
20621999702944534528,438.03,410000,2024-05-09 17:31:29
20621999958668197888,106.83,100000,2024-05-09 17:32:30
20622000467593175040,121.58,113800,2024-05-09 17:34:31
20622002088699813888,106.9,100000,2024-05-09 17:40:58
20622002114294599680,192.42,180000,2024-05-09 17:41:04
20622003661631864832,215.93,202000,2024-05-09 17:47:13
20622003702437928960,106.9,100000,2024-05-09 17:47:23
20622018417898106880,149.99,140500,2024-05-09 18:45:51
20622023587480748032,158,148000,2024-05-09 19:06:24
20622032953127673856,142.24,133000,2024-05-09 19:43:36
20622038681303695360,356.14,333000,2024-05-09 20:06:22
20622040030699630592,998.6,933383,2024-05-09 20:11:44
20622067170239537152,195.72,183000,2024-05-09 21:59:34
20622067217015791616,106.95,100000,2024-05-09 21:59:46
20622067354469662720,850,794741,2024-05-09 22:00:18
20622067477631586304,106.95,100000,2024-05-09 22:00:48
20622067645472509952,106.95,100000,2024-05-09 22:01:28
20622067736077111296,210,196347,2024-05-09 22:01:49
20622067794519998464,160.1,149700,2024-05-09 22:02:03
20622069970224046080,166.23,155428,2024-05-09 22:10:42
TOTAL,10017.759999999998,9393931,FIN
